layer,expert,activation_count,share_of_layer_topk_picks
2,120,1579,0.006023
2,121,1145,0.004368
2,122,4659,0.017773
2,123,1843,0.007030
2,124,2775,0.010586
2,125,1857,0.007084
2,126,2254,0.008598
2,127,3623,0.013821
3,0,1934,0.007378
3,1,3478,0.013268
3,2,1412,0.005386
3,3,2471,0.009426
3,4,3357,0.012806
3,5,2611,0.009960
3,6,1370,0.005226
3,7,1248,0.004761
3,8,1599,0.006100
3,9,1362,0.005196
3,10,2139,0.008160
3,11,1804,0.006882
3,12,1224,0.004669
3,13,1067,0.004070
3,14,1370,0.005226
3,15,1817,0.006931
3,16,2562,0.009773
3,17,2177,0.008305
3,18,2525,0.009632
3,19,3178,0.012123
3,20,2270,0.008659
3,21,886,0.003380
3,22,1680,0.006409
3,23,903,0.003445
3,24,2051,0.007824
3,25,752,0.002869
3,26,1868,0.007126
3,27,2011,0.007671
3,28,2434,0.009285
3,29,1955,0.007458
3,30,4843,0.018475
3,31,1452,0.005539
3,32,2677,0.010212
3,33,1563,0.005962
3,34,1234,0.004707
3,35,1514,0.005775
3,36,935,0.003567
3,37,2068,0.007889
3,38,756,0.002884
3,39,2636,0.010056
3,40,1828,0.006973
3,41,2476,0.009445
3,42,1092,0.004166
3,43,3407,0.012997
3,44,3012,0.011490
3,45,2891,0.011028
3,46,1699,0.006481
3,47,2607,0.009945
3,48,1756,0.006699
3,49,3167,0.012081
3,50,758,0.002892
3,51,1924,0.007339
3,52,3189,0.012165
3,53,2749,0.010487
3,54,2734,0.010429
3,55,2639,0.010067
3,56,2080,0.007935
3,57,1250,0.004768
3,58,2324,0.008865
3,59,1544,0.005890
3,60,1712,0.006531
3,61,1711,0.006527
3,62,1882,0.007179
3,63,1201,0.004581
3,64,2509,0.009571
3,65,2124,0.008102
3,66,2981,0.011372
3,67,4178,0.015938
3,68,2634,0.010048
3,69,1921,0.007328
3,70,946,0.003609
3,71,1900,0.007248
3,72,2034,0.007759
3,73,2132,0.008133
3,74,1980,0.007553
3,75,1566,0.005974
3,76,2752,0.010498
3,77,1999,0.007626
3,78,2923,0.011150
3,79,1311,0.005001
3,80,2234,0.008522
3,81,3029,0.011555
3,82,2993,0.011417
3,83,1091,0.004162
3,84,1776,0.006775
3,85,1660,0.006332
3,86,3134,0.011955
3,87,2279,0.008694
3,88,1421,0.005421
3,89,1859,0.007092
3,90,1521,0.005802
3,91,1795,0.006847
3,92,1521,0.005802
3,93,2132,0.008133
3,94,3100,0.011826
3,95,4539,0.017315
3,96,2767,0.010555
3,97,3979,0.015179
3,98,635,0.002422
3,99,2572,0.009811
3,100,2607,0.009945
3,101,2351,0.008968
3,102,1878,0.007164
3,103,567,0.002163
3,104,1189,0.004536
3,105,1717,0.006550
3,106,2191,0.008358
3,107,1164,0.004440
3,108,1992,0.007599
3,109,1721,0.006565
3,110,1753,0.006687
3,111,1951,0.007442
3,112,2450,0.009346
3,113,1618,0.006172
3,114,1800,0.006866
3,115,1187,0.004528
3,116,1592,0.006073
3,117,1271,0.004848
3,118,2271,0.008663
3,119,4205,0.016041
3,120,3888,0.014832
3,121,1408,0.005371
3,122,2236,0.008530
3,123,1996,0.007614
3,124,694,0.002647
3,125,585,0.002232
3,126,1341,0.005116
3,127,1769,0.006748
4,0,997,0.003803
4,1,1240,0.004730
4,2,1313,0.005009
4,3,1230,0.004692
4,4,1026,0.003914
4,5,1714,0.006538
4,6,2656,0.010132
4,7,2219,0.008465
4,8,1279,0.004879
4,9,1855,0.007076
4,10,1986,0.007576
4,11,715,0.002728
4,12,2874,0.010963
4,13,1418,0.005409
4,14,1011,0.003857
4,15,5143,0.019619
4,16,1163,0.004436
4,17,1718,0.006554
4,18,1387,0.005291
4,19,2906,0.011086
4,20,1688,0.006439
4,21,957,0.003651
4,22,627,0.002392
4,23,1510,0.005760
4,24,4240,0.016174
4,25,1143,0.004360
4,26,3291,0.012554
4,27,1301,0.004963
4,28,859,0.003277
4,29,502,0.001915
4,30,1791,0.006832
4,31,2226,0.008492
4,32,1793,0.006840
4,33,613,0.002338
4,34,1417,0.005405
4,35,2254,0.008598
4,36,1532,0.005844
4,37,2358,0.008995
4,38,955,0.003643
4,39,5277,0.020130
4,40,1150,0.004387
4,41,1861,0.007099
4,42,1969,0.007511
4,43,2823,0.010769
4,44,1599,0.006100
4,45,1959,0.007473
4,46,1850,0.007057
4,47,2408,0.009186
4,48,2474,0.009438
4,49,1955,0.007458
4,50,2762,0.010536
4,51,3461,0.013203
4,52,1386,0.005287
4,53,1409,0.005375
4,54,1408,0.005371
4,55,1453,0.005543
4,56,1448,0.005524
4,57,2080,0.007935
4,58,2758,0.010521
4,59,1375,0.005245
4,60,2337,0.008915
4,61,1576,0.006012
4,62,5197,0.019825
4,63,2140,0.008163
4,64,2652,0.010117
4,65,1291,0.004925
4,66,1272,0.004852
4,67,2080,0.007935
4,68,1346,0.005135
4,69,1916,0.007309
4,70,3166,0.012077
4,71,1371,0.005230
4,72,1307,0.004986
4,73,2059,0.007854
4,74,1695,0.006466
4,75,2474,0.009438
4,76,1900,0.007248
4,77,1133,0.004322
4,78,576,0.002197
4,79,2159,0.008236
4,80,1332,0.005081
4,81,2067,0.007885
4,82,722,0.002754
4,83,1330,0.005074
4,84,2221,0.008472
4,85,2894,0.011040
4,86,3072,0.011719
4,87,3378,0.012886
4,88,1926,0.007347
4,89,2855,0.010891
4,90,2242,0.008553
4,91,1749,0.006672
4,92,1532,0.005844
4,93,1381,0.005268
4,94,3101,0.011829
4,95,1957,0.007465
4,96,1338,0.005104
4,97,1849,0.007053
4,98,4093,0.015614
4,99,909,0.003468
4,100,939,0.003582
4,101,3487,0.013302
4,102,948,0.003616
4,103,3342,0.012749
4,104,1523,0.005810
4,105,2255,0.008602
4,106,3324,0.012680
4,107,3289,0.012547
4,108,2688,0.010254
4,109,1902,0.007256
4,110,1678,0.006401
4,111,1818,0.006935
4,112,3620,0.013809
4,113,2265,0.008640
4,114,3104,0.011841
4,115,502,0.001915
4,116,1675,0.006390
4,117,2253,0.008595
4,118,1606,0.006126
4,119,4452,0.016983
4,120,1106,0.004219
4,121,2535,0.009670
4,122,2846,0.010857
4,123,1310,0.004997
4,124,2788,0.010635
4,125,2273,0.008671
4,126,5799,0.022121
4,127,3450,0.013161
5,0,1793,0.006840
5,1,2800,0.010681
5,2,2190,0.008354
5,3,1460,0.005569
5,4,2514,0.009590
5,5,2309,0.008808
5,6,3478,0.013268
5,7,849,0.003239
5,8,882,0.003365
5,9,1281,0.004887
5,10,2482,0.009468
5,11,2822,0.010765
5,12,1724,0.006577
5,13,2064,0.007874
5,14,1880,0.007172
5,15,774,0.002953
5,16,1233,0.004704
5,17,2759,0.010525
5,18,2646,0.010094
5,19,3027,0.011547
5,20,2464,0.009399
5,21,381,0.001453
5,22,2090,0.007973
5,23,2181,0.008320
5,24,985,0.003757
5,25,3902,0.014885
5,26,1712,0.006531
5,27,2866,0.010933
5,28,2575,0.009823
5,29,2468,0.009415
5,30,3270,0.012474
5,31,1725,0.006580
5,32,2581,0.009846
5,33,2283,0.008709
5,34,1023,0.003902
5,35,1432,0.005463
5,36,1013,0.003864
5,37,801,0.003056
5,38,2294,0.008751
5,39,882,0.003365
5,40,2677,0.010212
5,41,1634,0.006233
5,42,1594,0.006081
5,43,985,0.003757
5,44,2204,0.008408
5,45,1207,0.004604
5,46,2451,0.009350
5,47,2605,0.009937
5,48,745,0.002842
5,49,2295,0.008755
5,50,561,0.002140
5,51,2669,0.010181
5,52,526,0.002007
5,53,1074,0.004097
5,54,3147,0.012005
5,55,1945,0.007420
5,56,2558,0.009758
5,57,440,0.001678
5,58,2592,0.009888
5,59,1290,0.004921
5,60,3597,0.013721
5,61,1901,0.007252
5,62,1744,0.006653
5,63,812,0.003098
5,64,1142,0.004356
5,65,1806,0.006889
5,66,3332,0.012711
5,67,3177,0.012119
5,68,1570,0.005989
5,69,1026,0.003914
5,70,912,0.003479
5,71,3784,0.014435
5,72,2086,0.007957
5,73,1036,0.003952
5,74,3420,0.013046
5,75,2327,0.008877
5,76,2552,0.009735
5,77,2633,0.010044
5,78,2135,0.008144
5,79,1542,0.005882
5,80,735,0.002804
5,81,915,0.003490
5,82,1188,0.004532
5,83,2371,0.009045
5,84,1313,0.005009
5,85,2546,0.009712
5,86,2729,0.010410
5,87,3468,0.013229
5,88,3386,0.012917
5,89,3525,0.013447
5,90,2056,0.007843
5,91,2001,0.007633
5,92,1329,0.005070
5,93,2161,0.008244
5,94,2038,0.007774
5,95,1300,0.004959
5,96,654,0.002495
5,97,3187,0.012157
5,98,2443,0.009319
5,99,1178,0.004494
5,100,1518,0.005791
5,101,2576,0.009827
5,102,1391,0.005306
5,103,2220,0.008469
5,104,2896,0.011047
5,105,2666,0.010170
5,106,1833,0.006992
5,107,1245,0.004749
5,108,1558,0.005943
5,109,2674,0.010201
5,110,1771,0.006756
5,111,3663,0.013973
5,112,3894,0.014854
5,113,3495,0.013332
5,114,2551,0.009731
5,115,1069,0.004078
5,116,3702,0.014122
5,117,2612,0.009964
5,118,1406,0.005363
5,119,1272,0.004852
5,120,1415,0.005398
5,121,2108,0.008041
5,122,899,0.003429
5,123,3054,0.011650
5,124,1640,0.006256
5,125,2454,0.009361
5,126,735,0.002804
5,127,5676,0.021652
6,0,3087,0.011776
6,1,1949,0.007435
6,2,1122,0.004280
6,3,3730,0.014229
6,4,1711,0.006527
6,5,1588,0.006058
6,6,1265,0.004826
6,7,1056,0.004028
6,8,1896,0.007233
6,9,2070,0.007896
6,10,1635,0.006237
6,11,1163,0.004436
6,12,3679,0.014034
6,13,3860,0.014725
6,14,1249,0.004765
6,15,3378,0.012886
6,16,2122,0.008095
6,17,1851,0.007061
6,18,4326,0.016502
6,19,4237,0.016163
6,20,1680,0.006409
6,21,2639,0.010067
6,22,1536,0.005859
6,23,849,0.003239
6,24,2913,0.011112
6,25,2397,0.009144
6,26,2676,0.010208
6,27,4622,0.017632
6,28,1751,0.006680
6,29,2442,0.009315
6,30,2068,0.007889
6,31,608,0.002319
6,32,1752,0.006683
6,33,823,0.003139
6,34,1987,0.007580
6,35,1121,0.004276
6,36,1118,0.004265
6,37,3435,0.013103
6,38,1538,0.005867
6,39,1663,0.006344
6,40,2207,0.008419
6,41,556,0.002121
6,42,1276,0.004868
6,43,1342,0.005119
6,44,2331,0.008892
6,45,2119,0.008083
6,46,1424,0.005432
6,47,3888,0.014832
6,48,1531,0.005840
6,49,1294,0.004936
6,50,2243,0.008556
6,51,1364,0.005203
6,52,3318,0.012657
6,53,2251,0.008587
6,54,1415,0.005398
6,55,4718,0.017998
6,56,1608,0.006134
6,57,1855,0.007076
6,58,2174,0.008293
6,59,2208,0.008423
6,60,2313,0.008823
6,61,926,0.003532
6,62,1987,0.007580
6,63,604,0.002304
6,64,1678,0.006401
6,65,1828,0.006973
6,66,2392,0.009125
6,67,1259,0.004803
6,68,2159,0.008236
6,69,1479,0.005642
6,70,1949,0.007435
6,71,1244,0.004745
6,72,2857,0.010899
6,73,2915,0.011120
6,74,781,0.002979
6,75,1663,0.006344
6,76,1537,0.005863
6,77,640,0.002441
6,78,944,0.003601
6,79,1712,0.006531
6,80,989,0.003773
6,81,2012,0.007675
6,82,2568,0.009796
6,83,1403,0.005352
6,84,2475,0.009441
6,85,3357,0.012806
6,86,1340,0.005112
6,87,3168,0.012085
6,88,3161,0.012058
6,89,3453,0.013172
6,90,1916,0.007309
